order_id,customer_name,email,order_date,amount,status
ORD0001,Customer 1,customer1@example.com,2024-01-02,11.5,completed
ORD0002,Customer 2,customer2@example.com,2024-01-03,13.0,cancelled
ORD0003,Customer 3,customer3@example.com,2024-01-04,14.5,pending
ORD0004,Customer 4,customer4@example.com,2024-01-05,-16.0,completed
ORD0005,Customer 5,customer5@example.com,2024-01-06,17.5,cancelled
ORD0006,,customer6@example.com,2024-01-07,19.0,pending
ORD0007,Customer 7,customer7@example.com,2024-01-08,20.5,completed
ORD0008,Customer 8,invalid.email.example.com,2024-01-09,22.0,cancelled
ORD0009,Customer 9,customer9@example.com,2024-01-10,23.5,pending
ORD0010,Customer 10,customer10@example.com,2024-01-11,25.0,completed
ORD0011,Customer 11,customer11@example.com,2024-01-12,26.5,cancelled
ORD0012,Customer 12,customer12@example.com,2024-01-13,28.0,pending
ORD0013,,customer13@example.com,2024-01-14,29.5,completed
ORD0014,Customer 14,customer14@example.com,2024-01-15,31.0,cancelled
ORD0015,Customer 15,customer15@example.com,2024-01-16,32.5,pending
ORD0016,Customer 16,customer16@example.com,2027-03-25,34.0,completed
ORD0017,Customer 17,customer17@example.com,2024-01-18,35.5,cancelled
ORD0018,Customer 18,customer18@example.com,2024-01-19,37.0,pending
ORD0019,Customer 19,customer19@example.com,2024-01-20,38.5,completed
ORD0020,Customer 20,customer20@example.com,2024-01-21,40.0,cancelled
ORD0021,Customer 21,customer21@example.com,2024-01-22,41.5,pending
ORD0022,Customer 22,customer22@example.com,2024-01-23,43.0,completed
ORD0023,Customer 23,customer23@example.com,2024-01-24,44.5,in_progress
ORD0024,Customer 24,customer24@example.com,2024-01-25,46.0,pending
ORD0025,Customer 25,customer25@example.com,2024-01-26,47.5,completed
ORD0026,,customer26@example.com,2024-01-27,49.0,cancelled
ORD0027,Customer 27,customer27@example.com,2024-01-28,50.5,pending
ORD0028,Customer 28,customer28@example.com,2024-01-29,52.0,completed
ORD0029,Customer 29,customer29@example.com,2024-01-30,53.5,cancelled
ORD0010,Customer 30,customer30@example.com,2024-01-31,55.0,pending
ORD0031,Customer 31,customer31@example.com,2024-02-01,56.5,completed
ORD0032,Customer 32,customer32@example.com,2024-02-02,58.0,cancelled
ORD0033,Customer 33,customer33@example.com,2024-02-03,59.5,pending
ORD0034,Customer 34,customer34@example.com,2024-02-04,-61.0,completed
ORD0035,Customer 35,customer35@example.com,2024-02-05,62.5,cancelled
ORD0036,Customer 36,customer36@example.com,2024-02-06,64.0,pending
ORD0037,Customer 37,customer37@example.com,2024-02-07,65.5,completed
ORD0038,Customer 38,customer38@example.com,2024-02-08,67.0,cancelled
ORD0039,Customer 39,customer39@example.com,2024-02-09,68.5,pending
ORD0020,Customer 40,customer40@example.com,2024-02-10,70.0,completed
ORD0041,Customer 41,customer41@example.com,2024-02-11,71.5,cancelled
ORD0042,Customer 42,customer42@example.com,2024-02-12,73.0,pending
ORD0043,Customer 43,customer43@example.com,2024-02-13,74.5,completed
ORD0044,Customer 44,customer44@example.com,2024-02-14,76.0,cancelled
ORD0045,Customer 45,customer45@example.com,2024-02-15,77.5,pending
ORD0046,Customer 46,customer46@example.com,2024-02-16,79.0,completed
ORD0047,Customer 47,customer47@example.com,2024-02-17,80.5,cancelled
ORD0048,Customer 48,customer48@example.com,2024-02-18,82.0,pending
ORD0049,Customer 49,customer49@example.com,2024-02-19,83.5,completed
ORD0050,Customer 50,customer50@example.com,2024-02-20,85.0,cancelled
